prefix,target,model,mode,loss,Baseline-prev,Baseline-horizon,horizon,return_no_interest,return_interest,set,is_better
TSLA,log_return_1,NHITS,news,0.76,0.62,0.63,2,,,val,1
TSLA,log_return_1,NHITS,news,0.62,0.62,0.63,5,,,val,0
TSLA,log_return_1,TFT,news,0.7,0.62,0.63,2,,,val,1
TSLA,log_return_1,TFT,news,0.73,0.62,0.63,5,,,val,1
TSLA,log_return_1,NBEATSx,financial_and_news,0.64,0.62,0.63,2,,,val,1
TSLA,log_return_1,NBEATSx,financial_and_news,0.75,0.62,0.63,5,,,val,1
TSLA,log_return_1,NHITS,financial_and_news,0.67,0.62,0.63,2,,,val,1
TSLA,log_return_1,NHITS,financial_and_news,0.66,0.62,0.63,5,,,val,1
TSLA,log_return_1,TFT,financial_and_news,0.68,0.62,0.63,2,,,val,1
TSLA,log_return_1,TFT,financial_and_news,0.73,0.62,0.63,5,,,val,1
TSLA,log_return_1,NBEATSx,financial,0.49,0.43,0.43,2,,,test,1
TSLA,log_return_1,NBEATSx,financial,0.66,0.43,0.52,5,,,test,1
TSLA,log_return_1,NHITS,financial,0.39,0.43,0.43,2,,,test,0
TSLA,log_return_1,NHITS,financial,0.54,0.43,0.52,5,,,test,1
TSLA,log_return_1,TFT,financial,0.6,0.43,0.43,2,,,test,1
TSLA,log_return_1,TFT,financial,0.32,0.43,0.52,5,,,test,0
TSLA,log_return_1,NBEATSx,news,0.46,0.43,0.43,2,,,test,1
TSLA,log_return_1,NBEATSx,news,0.62,0.43,0.52,5,,,test,1
TSLA,log_return_1,NHITS,news,0.47,0.43,0.43,2,,,test,1
TSLA,log_return_1,NHITS,news,0.62,0.43,0.52,5,,,test,1
TSLA,log_return_1,TFT,news,0.5,0.43,0.43,2,,,test,1
TSLA,log_return_1,TFT,news,0.42,0.43,0.52,5,,,test,0
TSLA,log_return_1,NBEATSx,financial_and_news,0.42,0.43,0.43,2,,,test,0
TSLA,log_return_1,NBEATSx,financial_and_news,0.62,0.43,0.52,5,,,test,1
TSLA,log_return_1,NHITS,financial_and_news,0.4,0.43,0.43,2,,,test,0
TSLA,log_return_1,NHITS,financial_and_news,0.56,0.43,0.52,5,,,test,1
TSLA,log_return_1,TFT,financial_and_news,0.52,0.43,0.43,2,,,test,1
TSLA,log_return_1,TFT,financial_and_news,0.3,0.43,0.52,5,,,test,0
TSLA,log_return_5,NBEATSx,financial,0.78,0.86,0.88,2,,,val,0
TSLA,log_return_5,NBEATSx,financial,0.82,0.86,0.73,5,0.0024858244006722954,-0.0015693188758722399,val,1
TSLA,log_return_5,NHITS,financial,0.82,0.86,0.88,2,,,val,0
TSLA,log_return_5,NHITS,financial,0.75,0.86,0.73,5,0.007850793722299451,0.003829407128050669,val,1
TSLA,log_return_5,TFT,financial,0.73,0.86,0.88,2,,,val,0
TSLA,log_return_5,TFT,financial,0.73,0.86,0.73,5,0.004276075262973152,0.0002490575273947713,val,0
TSLA,log_return_5,NBEATSx,news,0.82,0.86,0.88,2,,,val,0
TSLA,log_return_5,NBEATSx,news,0.73,0.86,0.73,5,0.0023616976142811154,-0.0016485695972401511,val,0
TSLA,log_return_5,NHITS,news,0.81,0.86,0.88,2,,,val,0
TSLA,log_return_5,NHITS,news,0.7,0.86,0.73,5,-0.001417641278148607,-0.0054632538516635205,val,0
TSLA,log_return_5,TFT,news,0.73,0.86,0.88,2,,,val,0
