,timestamp,open,high,low,close,volume
3090,2011-06-29,170.61,170.86,169.82,170.54,3817100
3091,2011-06-28,168.33,170.7,168.01,170.01,4850000
3092,2011-06-27,165.74,168.24,165.21,167.62,4446700
3093,2011-06-24,165.85,165.94,164.57,165.07,4402600
3094,2011-06-23,164.06,166.73,163.8,166.12,5271500
3095,2011-06-22,165.59,166.81,165.1,165.68,3960500
3096,2011-06-21,165.2,166.75,164.0,166.22,5387300
3097,2011-06-20,163.7,165.61,163.59,165.02,3956100
3098,2011-06-17,164.24,165.1,163.58,164.44,7149700
3099,2011-06-16,162.06,163.63,161.78,162.67,4861100
3100,2011-06-15,162.75,163.41,161.52,162.33,5225600
3101,2011-06-14,163.87,164.57,163.65,164.12,7050000
3102,2011-06-13,164.44,164.46,162.73,163.17,5099200
3103,2011-06-10,164.57,164.84,162.87,163.18,4683300
3104,2011-06-09,165.01,165.96,164.76,164.84,4299800
3105,2011-06-08,163.27,164.85,163.26,164.34,3850800
3106,2011-06-07,165.11,165.24,163.61,163.69,4187000
3107,2011-06-06,164.76,165.58,164.27,164.75,3619700
3108,2011-06-03,164.3,165.89,164.13,165.05,5230500
3109,2011-06-02,166.44,167.1,165.71,166.09,3854100
3110,2011-06-01,168.9,169.58,166.5,166.56,5134600
3111,2011-05-31,168.44,169.89,167.82,168.93,9123400
3112,2011-05-27,167.91,168.47,167.0,167.5,3277600
3113,2011-05-26,167.46,167.5,165.9,167.18,5771300
3114,2011-05-25,167.63,168.4,167.51,167.75,3882100
3115,2011-05-24,168.5,168.67,167.51,167.99,4643600
3116,2011-05-23,168.58,168.69,167.07,168.26,5144000
3117,2011-05-20,170.4,171.15,169.38,170.16,4869900
3118,2011-05-19,170.86,171.4,169.32,170.59,3538300
3119,2011-05-18,170.1,171.19,169.46,170.44,4154300
3120,2011-05-17,167.85,171.41,166.53,170.5,8773200
3121,2011-05-16,169.81,170.64,168.31,168.86,4662200
3122,2011-05-13,171.7,172.15,169.44,169.92,5167400
3123,2011-05-12,169.65,172.77,168.65,172.24,5138500
3124,2011-05-11,170.3,170.52,167.82,169.5,4663200
3125,2011-05-10,169.25,170.9,169.22,170.38,4934800
3126,2011-05-09,168.39,169.85,168.31,169.1,3594800
3127,2011-05-06,169.03,170.15,168.24,168.89,4839400
3128,2011-05-05,170.47,170.87,167.5,168.46,7332000
3129,2011-05-04,172.36,172.62,169.59,170.62,6890300
3130,2011-05-03,172.0,173.48,171.23,172.87,5007700
